start,open,high,low,close,vwp,volume,trades
1549572240000,3399.97,3403.31,3397.05,3397.41,3399.8549127311962,624.7032000000002,4216
1549575840000,3397.07,3400,3393.55,3399.99,3396.9599656990695,425.889042,3765
1549579440000,3399.99,3401.8,3394.2,3395.55,3398.188483434413,314.3195550000001,3635
1549583040000,3395.32,3398.71,3391,3394.28,3395.02076208406,615.4250099999998,5039
1549586640000,3394.29,3396,3390.37,3390.66,3393.631388906712,533.4661239999999,4544
1549590240000,3390.68,3394.88,3373.1,3394.88,3387.10955744797,1324.8263479999996,6920
1549593840000,3394.88,3407.78,3389.47,3405.34,3398.472222450752,822.65503,4968
1549597440000,3405.34,3405.59,3397.14,3401.37,3401.0422041099896,536.71283,3580
1549601040000,3401.02,3411,3399.47,3408.6,3406.066169576883,721.4378059999999,4669
1549604640000,3408.83,3410.24,3400.5,3406.2,3407.3878635136134,689.9598570000002,4244
1549608240000,3406.2,3409.94,3392.97,3398.1,3402.4603012042435,600.4388209999997,4556
1549611840000,3398.1,3407.1,3393.77,3405.4,3401.42919233663,542.116031,5001
1549615440000,3404.45,3450.5,3403.71,3434.15,3428.2120143116754,3192.8952269999995,16598
1549619040000,3434.17,3439.38,3424.57,3430.84,3429.9214710270517,1494.1529519999995,7662
1549622640000,3430.85,3441.79,3427.96,3429.95,3435.1574316954193,1281.0550660000008,7156
1549626240000,3429.95,3447.99,3429,3434.41,3433.5993175931744,2538.108644000001,8658
1549629840000,3434.41,3448,3434.39,3441.96,3440.312869753958,1188.1554680000004,7321
1549633440000,3442,3469.89,3440.83,3447.99,3451.7833671544417,1681.1900549999998,8686
1549637040000,3447.61,3504.9,3447.61,3487.79,3471.8626232103243,2549.028244999998,14100
1549640640000,3487.79,3543,3481.98,3534.96,3501.1631813103927,4173.019453999998,22399
1549644240000,3534.93,3733.58,3526.16,3647.93,3657.3165252698304,12431.285204000003,53665
1549647840000,3647.21,3677.65,3641.35,3655.53,3659.4598186946905,3141.6130670000002,18088
1549651440000,3656.26,3669.08,3647.91,3666.75,3658.082434206164,2393.526405000001,11219
1549655040000,3666.1,3669.99,3657.13,3666.15,3665.266219068579,1245.848386,8048
1549658640000,3666.15,3669.92,3612,3641.1,3645.9979033910313,1991.1249539999992,14494
1549662240000,3641.68,3645,3628.52,3634.95,3637.1132811292696,1074.392671,8831
1549665840000,3634.98,3651.64,3625.36,3647.58,3639.559210822834,899.4028220000004,8421
1549669440000,3647.98,3667.89,3641.34,3648.66,3656.173090991753,1401.022075,11506
1549673040000,3648.66,3657.48,3642.09,3642.94,3648.6204086473645,1031.3669859999998,8919
1549676640000,3643.23,3647.51,3635,3647.51,3642.7607154543293,842.2023409999998,8218
1549680240000,3647.51,3649.67,3640,3645.46,3645.8514164754806,914.7113149999999,7465
1549683840000,3645.13,3656.61,3642.19,3653.27,3649.2708031424477,723.1482809999999,6924
1549687440000,3654.06,3654.34,3643.78,3650.18,3649.3590245617775,712.4801300000003,6474
1549691040000,3650.46,3653.79,3646.24,3647.49,3649.773113991578,640.473373,6087
1549694640000,3647.26,3662.17,3646.25,3660.73,3652.7285403409724,828.0562219999999,7082
1549698240000,3660.73,3677.32,3653.8,3661.6,3667.2575768224,2204.688638,13647
1549701840000,3661.91,3670.23,3651.69,3662.11,3660.085140648814,1322.7372279999997,8046
1549705440000,3661,3669,3655,3663,3660.7036167064125,960.6537559999999,7047
1549709040000,3662.98,3665.32,3655.02,3660.89,3660.394524070033,915.320028,7351
1549712640000,3661.06,3666.89,3645,3652.3,3658.5057556961838,1069.301649,8006
1549716240000,3652.64,3668,3650,3667.91,3657.6873695067675,1102.6436010000002,10901
1549719840000,3667.02,3680.02,3651.05,3658.77,3663.404407343411,1714.8564939999999,9748
1549723440000,3658.77,3662.39,3645,3647.67,3652.848415718056,1265.8813400000001,7964
1549727040000,3648.35,3652.35,3625.13,3650.98,3642.604121250826,1496.8088810000004,10211
1549730640000,3650.66,3652.84,3636.31,3640.78,3643.4677516160464,988.2112380000002,7331
1549734240000,3639.98,3645,3637.39,3643.88,3641.946350896201,720.825867,6465
1549737840000,3643.76,3654.77,3639.36,3648.8,3648.5285029640745,958.181226,6306
1549741440000,3648.36,3657.11,3648.36,3655.29,3653.4611863290907,934.0801549999996,6074
1549745040000,3656,3665.62,3650.54,3664.6,3658.9555324566777,1105.305655,5887
1549748640000,3664.15,3669.73,3656,3664.98,3662.120421436827,774.421122,4874
1549752240000,3664.41,3665,3657.2,3664,3661.13991833354,383.287948,4173
1549755840000,3664,3674,3662.02,3663.29,3668.615339016592,665.8484960000004,6021
1549759440000,3664.28,3668.97,3649.98,3657.83,3655.8270646403994,665.453442,6233
1549763040000,3658.86,3663,3653.06,3653.95,3657.9131043745037,504.9363079999999,4753
1549766640000,3653.95,3657.74,3646.44,3652.1,3654.251498199476,572.2419179999998,4821
1549770240000,3652.12,3656.71,3648.72,3656.18,3654.2233522192896,425.305103,4307
1549773840000,3656.45,3660,3651.68,3652.38,3655.8471065416934,494.33091399999984,4605
1549777440000,3653.35,3656.2,3633.68,3642.24,3644.8924060199515,1108.6681839999997,8070
1549781040000,3642.33,3644.33,3609.76,3622.64,3627.8245302885416,1914.1037929999998,11411
1549784640000,3623.77,3642,3620.63,3638.46,3634.4003112913733,1364.472956,8234
1549788240000,3638.01,3640.33,3633.58,3635.26,3637.3448686292745,750.664841,5770
1549791840000,3636.35,3646.9,3631.95,3644.33,3639.593010252367,930.7637699999998,6651
1549795440000,3644.33,3647.95,3631.02,3632.65,3641.9250696544113,648.963934,5908
1549799040000,3634.03,3642.78,3622.5,3628.6,3633.3756564568857,733.97128,6513
1549802640000,3628.6,3629.83,3616,3622.86,3622.469158964388,1168.5182610000002,7834
1549806240000,3622.86,3637,3617.09,3619.85,3628.63859886475,1168.7154270000003,6733
1549809840000,3619.83,3634.77,3615.53,3630.31,3624.4218537069046,1231.45798,6878
1549813440000,3630.27,3645,3624.03,3643.05,3633.5592740176958,1357.6352540000005,8541
1549817040000,3642.97,3655,3631.94,3644,3642.816751371026,1376.539086,9041
1549820640000,3644,3650,3632.03,3642.44,3641.4908267484197,742.10815,5833
1549824240000,3641.63,3649.36,3637.55,3644.2,3643.607901140518,671.3859230000002,5740
1549827840000,3643.12,3647.47,3636,3636.82,3640.835491934439,558.6715599999999,5201
1549831440000,3636.86,3646.17,3636.42,3643.32,3641.929515903435,584.0399860000003,4721
1549835040000,3643.23,3665,3640,3654.98,3649.774470855472,927.141319,7057
1549838640000,3654.95,3684.99,3648.81,3671.27,3667.250296355021,2189.0433150000003,11011
1549842240000,3671.27,3684.9,3620.17,3637.11,3649.836256842388,3612.320275999999,17098
1549845840000,3637.11,3645.27,3622,3633,3633.785018600156,1143.6441999999997,7329
1549849440000,3632.98,3641.59,3626.96,3634.33,3633.669962158618,515.314708,5079
1549853040000,3635,3635,3621.29,3627.32,3627.541857438091,772.6975859999999,5542
1549856640000,3627.34,3629.13,3616.66,3628.26,3623.6130296319043,623.0057310000001,4831
1549860240000,3628.26,3629.11,3617.2,3625,3623.2411816845356,593.6443590000002,5463
1549863840000,3625.28,3630.91,3619.51,3627.21,3625.996815499817,680.900341,5647
1549867440000,3627.97,3636.11,3627.23,3635.5,3631.709591953411,766.0348539999997,5713
1549871040000,3635.5,3638.73,3624.84,3628.77,3631.5052391223185,1089.5884140000003,6728
1549874640000,3628.96,3637.1,3621,3634.33,3629.5137419250323,776.9350579999997,5749
1549878240000,3634.31,3644.16,3628.01,3629,3635.1931241760763,750.9372110000003,5756
1549881840000,3628.98,3634.96,3623,3629.01,3627.4842782017085,912.5268459999999,6405
1549885440000,3628.47,3638.13,3624.08,3635.9,3631.1099190213554,979.0404509999998,7015
1549889040000,3635.55,3657.2,3630.67,3637.36,3639.9869858559073,1392.029219,9176
1549892640000,3638.14,3653.58,3635,3645.6,3644.1361258118695,1457.4456069999999,8235
1549896240000,3645.58,3651.96,3630.01,3638.42,3642.2210243011477,1305.3123059999994,8122
1549899840000,3638.41,3643.66,3615.53,3630.21,3632.332134587847,1634.0131639999997,9136
1549903440000,3630.28,3639,3624.46,3632.01,3630.5301596858876,947.3133279999998,6606
1549907040000,3632.01,3641.43,3631.77,3640.72,3635.9708478667667,771.2160159999999,6183
1549910640000,3640.72,3648.64,3637.1,3640.92,3642.322766374905,758.3523429999998,5702
1549914240000,3640.78,3649,3635.68,3645,3643.867627949823,1372.6534930000003,6569
1549917840000,3644.18,3647.56,3635.3,3635.81,3641.458742905082,950.9450019999998,6301
1549921440000,3635.79,3643.64,3627,3638.67,3635.099731802243,989.8109609999998,7228
1549925040000,3638.55,3644,3624.88,3627,3634.641051844719,625.306406,5616
1549928640000,3627,3633.3,3582.34,3607.79,3604.1561745256067,2606.766720999998,12975
1549932240000,3608.44,3618.45,3598.01,3611.08,3608.210193792739,1100.321149,6968
1549935840000,3611.08,3623.81,3604.01,3617.22,3615.5669820194958,971.7589520000005,6659
1549939440000,3617.25,3623.47,3611.2,3622.02,3617.725223246145,875.8346579999998,6203
1549943040000,3622,3632.25,3615.33,3628.67,3623.6412515853876,1050.587066,6498
1549946640000,3628.66,3634.19,3622.01,3627,3629.0300948650943,893.28578,5618
1549950240000,3627,3631.08,3618.26,3622.98,3623.890432372496,604.899231,5178
1549953840000,3623,3629.71,3612.9,3622.62,3623.36372536022,1011.6004240000002,6467
1549957440000,3622.62,3631.17,3601.98,3603.62,3616.119797371762,1247.5882660000002,7357
1549961040000,3602.53,3614.43,3595.71,3598.09,3604.9162788248,1554.4031310000005,10583
1549964640000,3598.13,3612.28,3595.91,3603.61,3603.126829137137,1119.755547,7194
1549968240000,3603.03,3616.8,3602.03,3609.19,3610.172953806525,909.0405239999999,6896
1549971840000,3609.37,3622.98,3606.27,3622.01,3612.337766775501,1086.256004,6776
1549975440000,3622,3638,3611.1,3621.79,3623.6950425096634,1759.0234730000004,9910
1549979040000,3621.41,3627.73,3614.28,3620.62,3620.6507009465854,1158.2983690000008,8132
1549982640000,3620.32,3628.77,3610.5,3614.01,3619.2989985605077,1501.6911829999995,9568
1549986240000,3614.01,3631.48,3614,3623.43,3622.9553332978803,1190.421312,7069
1549989840000,3623.38,3636.97,3616.53,3626.3,3625.806876220171,962.7679489999998,6462
1549993440000,3625.65,3661.65,3625.5,3653.87,3640.320142132719,1324.24831,7890
1549997040000,3653.38,3667.6,3634.52,3643.7,3644.2865319452408,2198.2820249999995,11623
1550000640000,3643.72,3654.94,3635,3652.34,3643.901261217037,1114.5413960000003,7071
1550004240000,3651.92,3654,3609,3629.99,3641.124448418319,1193.9728109999992,9118
1550007840000,3629.02,3632.4,3610.2,3627.09,3622.233334761356,1193.9649000000002,9623
1550011440000,3626.66,3638.85,3618.23,3633.1,3627.810321973025,853.3152749999999,6032
1550015040000,3633.1,3642.85,3624,3638.33,3634.9630505537634,638.0083520000001,5069
1550018640000,3638.81,3640.59,3629,3635.61,3635.5068188620703,677.4041199999999,5139
